time_s,err_mag,err_x,err_y,err_z
0.994,0.24565,0.17181,0.175571,0.000393
0.997,0.26804,0.187588,0.191457,0.000261
1.004,0.285709,0.200039,0.203995,0.000149
1.012,0.298349,0.208943,0.212967,0.00021
1.017,0.30565,0.214081,0.218154,0.000406
1.021,0.307314,0.215242,0.219345,0.000586
1.024,0.303077,0.212245,0.21635,0.000738
1.028,0.29286,0.205045,0.2091,0.000899
1.032,0.276839,0.193767,0.197719,0.001058
1.035,0.255423,0.178698,0.182501,0.001184
1.039,0.229245,0.160282,0.163894,0.001272
1.044,0.19916,0.139119,0.142507,0.001557
1.048,0.166148,0.115901,0.119037,0.001608
1.051,0.131154,0.091294,0.094152,0.001432
1.055,0.09498,0.065863,0.068421,0.001321
1.06,0.058358,0.040124,0.04236,0.001153
1.064,0.021997,0.014565,0.016458,0.000929
1.069,0.013628,-0.010358,-0.008824,0.000749
1.073,0.047588,-0.034222,-0.033063,0.000565
1.077,0.079548,-0.056631,-0.055862,0.000377
1.08,0.108944,-0.077218,-0.076851,0.000218
1.084,0.135284,-0.095637,-0.095684,7.1e-05
1.089,0.158159,-0.111604,-0.112064,0.000636
1.096,0.177127,-0.124801,-0.125687,0.001263
1.103,0.191767,-0.134918,-0.136272,0.001324
1.107,0.201741,-0.141721,-0.143572,0.001274
1.111,0.206732,-0.144985,-0.147362,0.00139
1.116,0.206438,-0.144515,-0.14741,0.001546
1.122,0.200765,-0.140277,-0.143618,0.001649
1.128,0.189849,-0.132377,-0.136074,0.00174
1.131,0.174038,-0.121061,-0.12502,0.001828
1.136,0.153864,-0.106708,-0.110832,0.001886
1.14,0.130023,-0.089811,-0.094003,0.001903
1.143,0.103464,-0.071027,-0.075209,0.001912
1.146,0.075223,-0.051075,-0.055194,0.001868
1.151,0.046059,-0.030483,-0.034488,0.00168
1.156,0.01679,-0.009748,-0.013589,0.001486
1.159,0.01283,0.010656,0.007027,0.00129
1.163,0.040534,0.030288,0.026917,0.001065
1.167,0.066798,0.048739,0.045669,0.00086
1.171,0.090904,0.065627,0.062898,0.000671
1.175,0.112329,0.080593,0.078246,0.000488
1.179,0.130637,0.09334,0.091396,0.000736
1.183,0.145383,0.103547,0.102044,0.001102
1.187,0.156141,0.11091,0.109898,0.001192
1.191,0.162542,0.115169,0.114693,0.001177
1.195,0.164301,0.116144,0.116206,0.001266
1.2,0.161348,0.113802,0.114369,0.00139
1.203,0.153799,0.108236,0.109256,0.001467
1.207,0.141958,0.099668,0.101075,0.00152
1.212,0.126291,0.088428,0.090152,0.001568
1.216,0.1074,0.074944,0.076913,0.001596
1.22,0.08603,0.059741,0.061879,0.001767
1.223,0.063096,0.043455,0.045703,0.00202
1.226,0.039517,0.026726,0.029045,0.001929
1.231,0.016041,0.010038,0.01239,0.001743
1.234,0.007419,-0.006159,-0.003811,0.001604
1.238,0.028761,-0.021435,-0.019126,0.001377
1.242,0.048506,-0.035389,-0.033153,0.001151
1.245,0.065904,-0.047651,-0.045518,0.000966
1.248,0.080478,-0.057897,-0.05589,0.000971
1.253,0.091768,-0.065806,-0.063951,0.001104
1.256,0.099361,-0.071086,-0.069412,0.001177
1.261,0.103014,-0.073571,-0.072096,0.001193
1.266,0.102653,-0.073212,-0.071946,0.00123
1.271,0.098349,-0.070061,-0.069009,0.001286
1.277,0.090315,-0.064273,-0.063434,0.001324
1.281,0.078908,-0.056105,-0.05547,0.001344
1.285,0.064612,-0.045898,-0.045456,0.001355
1.289,0.048007,-0.034065,-0.033799,0.001359
1.292,0.02978,-0.021085,-0.020977,0.001503
1.298,0.010815,-0.007536,-0.007566,0.001711
1.302,0.008513,0.005982,0.005831,0.001638
1.305,0.026731,0.019005,0.018741,0.001461
1.31,0.043766,0.031117,0.030747,0.001323
1.314,0.058962,0.041919,0.041451,0.001119
1.317,0.071822,0.051059,0.0505,0.00103
