time_s,err_mag,err_x,err_y,err_z
29.02,1.427372,1.002914,0.551498,-0.85288
29.12,1.308883,0.914647,0.454845,-0.818358
29.219,1.189832,0.823009,0.358895,-0.780737
29.318,1.071828,0.727579,0.263857,-0.7415
29.419,0.95706,0.62802,0.171125,-0.70162
29.531,0.837655,0.513543,0.072647,-0.65777
29.627,0.73941,0.404717,-0.012988,-0.618678
29.732,0.663777,0.303002,-0.086221,-0.584257
29.82,0.600069,0.186609,-0.162246,-0.546751
29.921,0.564365,0.067702,-0.230474,-0.510692
30.021,0.559057,-0.051809,-0.288724,-0.475919
30.121,0.58005,-0.16898,-0.333867,-0.443211
30.221,0.615337,-0.279394,-0.362926,-0.410929
30.32,0.655121,-0.379725,-0.375435,-0.379527
30.42,0.691694,-0.467264,-0.371652,-0.349255
30.521,0.720347,-0.53996,-0.353677,-0.319774
30.634,0.739188,-0.597697,-0.323631,-0.290551
30.723,0.74751,-0.64042,-0.28366,-0.261095
30.833,0.745351,-0.668215,-0.235786,-0.231177
30.921,0.732973,-0.681018,-0.18123,-0.201544
31.027,0.708665,-0.677791,-0.115703,-0.171516
31.123,0.681049,-0.661712,-0.059574,-0.149719
31.24,0.638977,-0.626117,0.009861,-0.127165
31.331,0.594125,-0.579314,0.071638,-0.110673
31.431,0.544654,-0.519743,0.130293,-0.097667
31.527,0.492742,-0.448616,0.183753,-0.088167
31.63,1.660154,0.632946,1.229883,0.918084
31.73,1.725665,0.722991,1.267489,0.921236
31.827,1.784498,0.817658,1.293169,0.918468
31.926,1.830529,0.910765,1.305846,0.903388
32.03,1.862654,0.996466,1.305385,0.878923
32.131,1.880912,1.069434,1.294124,0.848165
32.228,1.883311,1.13038,1.270804,0.8088
32.325,1.874465,1.173324,1.242564,0.770041
32.431,1.849914,1.21147,1.198809,0.719292
32.53,1.815361,1.233014,1.150894,0.671309
32.627,1.770589,1.242357,1.096586,0.623727
32.73,1.7151,1.241813,1.034449,0.573919
32.83,1.651337,1.231514,0.966326,0.525834
32.933,1.579222,1.211699,0.892574,0.47858
33.03,1.499324,1.182952,0.813538,0.432147
33.131,1.412669,1.146355,0.72943,0.386569
33.23,1.319747,1.102172,0.640671,0.341304
33.331,1.221548,1.050971,0.547567,0.296326
33.427,1.119489,0.993477,0.450269,0.252025
33.53,1.014943,0.930107,0.349002,0.207864
33.63,0.911444,0.862407,0.244048,0.165602
33.73,0.811716,0.79026,0.135855,0.126151
33.831,0.720444,0.7142,0.024736,0.091355
33.93,0.647654,0.638482,-0.086079,0.066229
34.031,0.592322,0.5573,-0.195582,0.044833
34.137,0.558411,0.46458,-0.308426,0.029357
34.229,0.550722,0.387333,-0.390768,0.023826
34.33,0.555528,0.298176,-0.468168,0.022835
34.431,0.569102,0.206826,-0.529522,0.026574
34.53,0.585925,0.113267,-0.573906,0.033325
34.637,0.605717,0.009419,-0.604063,0.04372
34.73,0.621373,-0.074635,-0.614448,0.054663
34.841,0.638233,-0.174522,-0.609968,0.069442
34.93,0.649207,-0.252004,-0.592495,0.083143
35.03,0.655312,-0.328866,-0.558526,0.096584
35.131,0.658778,-0.396842,-0.513501,0.113233
35.23,0.654574,-0.450588,-0.456855,0.12931
35.33,0.644903,-0.486631,-0.398035,0.143728
35.431,0.625923,-0.514777,-0.318038,0.160111
35.535,0.60268,-0.525308,-0.238634,0.174151
35.64,0.573614,-0.521103,-0.153209,0.184424
35.741,0.544985,-0.505476,-0.064151,0.193358
35.843,0.516328,-0.474454,0.036414,0.200403
35.946,0.495426,-0.433065,0.129073,0.20308
36.05,3.07741,-2.37962,-1.78099,-0.797457
36.151,2.980649,-2.315128,-1.697535,-0.801763
36.255,2.882481,-2.241888,-1.622606,-0.806094
36.34,2.778228,-2.16088,-1.552228,-0.799835
36.438,2.668548,-2.074365,-1.484802,-0.783276
36.542,2.55254,-1.983173,-1.416699,-0.758583
36.641,2.432931,-1.890041,-1.346977,-0.729761
36.74,2.304376,-1.790634,-1.273501,-0.694243
36.841,2.171885,-1.688124,-1.19839,-0.656645
36.939,2.036209,-1.582376,-1.122602,-0.61806
37.041,1.897366,-1.472559,-1.046946,-0.579196
37.139,1.75584,-1.358798,-0.97195,-0.54033
37.236,1.626149,-1.252588,-0.905534,-0.505363
37.342,1.465372,-1.117407,-0.826882,-0.463663
37.441,1.318188,-0.989477,-0.759217,-0.426782
37.541,1.171291,-0.857294,-0.696062,-0.390471
37.643,1.026505,-0.721861,-0.637851,-0.354648
37.738,0.886274,-0.585387,-0.583721,-0.319491
37.84,0.75249,-0.449928,-0.531869,-0.284468
37.937,0.628,-0.318315,-0.480332,-0.249683
38.039,0.515478,-0.192964,-0.426498,-0.215829
38.144,0.418697,-0.075857,-0.368643,-0.183454
