time_s,err_mag,err_x,err_y,err_z
1.762,3.026146,1.996622,1.99663,1.088359
2.041,2.963136,1.970473,1.97052,1.007207
2.308,2.847324,1.911124,1.911226,0.895587
2.613,2.692221,1.819104,1.819251,0.793246
2.903,2.505261,1.700372,1.700477,0.702455
3.193,2.297488,1.563801,1.563787,0.622531
3.462,2.081102,1.419073,1.418947,0.551187
3.737,1.865984,1.27359,1.273415,0.48814
3.997,1.658321,1.132211,1.131859,0.432461
4.26,1.462299,0.998123,0.997555,0.383342
4.529,1.283582,0.875486,0.874959,0.339931
4.794,1.131258,0.771207,0.770816,0.301376
5.06,1.004643,0.684965,0.684666,0.267137
5.332,0.893183,0.609103,0.608893,0.236682
5.603,0.788978,0.537852,0.537714,0.209916
5.869,0.69372,0.472613,0.472512,0.186054
6.139,0.612668,0.417087,0.417049,0.165743
6.409,0.544614,0.370717,0.370584,0.147787
6.669,0.485259,0.330394,0.329936,0.132132
6.931,0.43031,0.293061,0.292437,0.117311
7.215,0.379035,0.257982,0.257419,0.104157
7.507,0.334006,0.226944,0.226834,0.092752
7.784,0.296031,0.200773,0.201158,0.082827
8.072,0.262795,0.178552,0.17826,0.073511
8.351,0.231759,0.15767,0.156998,0.064837
8.625,0.204663,0.1386,0.138989,0.057956
8.897,0.182686,0.123085,0.12452,0.052145
9.172,0.162152,0.109837,0.110171,0.045733
9.45,0.141061,0.095637,0.094881,0.041823
9.722,0.124643,0.08382,0.083908,0.038335
9.992,0.116244,0.076777,0.080195,0.03445
10.275,0.107705,0.069607,0.075877,0.03159
10.583,0.092192,0.059729,0.063688,0.029592
10.879,0.07581,0.050022,0.049868,0.027533
11.164,0.066593,0.045036,0.041738,0.025775
11.441,0.062734,0.042163,0.039975,0.02366
11.704,0.057937,0.037287,0.038341,0.022279
11.977,0.049738,0.031024,0.032978,0.020588
12.254,0.041893,0.026136,0.026319,0.019474
12.523,0.037015,0.02358,0.022053,0.018104
12.795,0.034504,0.02124,0.021065,0.017195
13.068,0.031998,0.018151,0.020839,0.01613
13.341,0.027571,0.014885,0.017556,0.015178
13.625,0.023949,0.013711,0.012854,0.014844
13.895,0.022351,0.013559,0.01063,0.014239
14.171,0.022107,0.012815,0.011077,0.014206
14.44,0.020888,0.011226,0.011031,0.013733
14.717,0.019823,0.009674,0.009003,0.014776
14.993,0.018891,0.00915,0.006934,0.015003
15.269,0.017982,0.008194,0.006419,0.014663
15.544,0.016965,0.006093,0.005793,0.014735
15.811,0.01524,0.004008,0.003887,0.01418
16.078,0.013345,0.00387,0.002382,0.012547
16.359,0.012956,0.004313,0.003208,0.011788
16.628,0.012605,0.003074,0.004318,0.011436
16.907,0.0121,0.001121,0.001528,0.01195
17.166,0.011426,0.000337,-0.001805,0.011278
17.443,0.011384,0.001193,-0.001262,0.011251
17.71,0.011725,0.002148,0.001454,0.011435
17.984,0.011843,0.001944,0.003102,0.011264
18.252,0.01047,0.001028,0.002137,0.010198
18.524,0.009644,0.000838,-0.001942,0.009409
18.803,0.009787,0.000653,-0.004396,0.00872
19.078,0.00954,0.000179,-0.000212,0.009536
19.347,0.010327,-0.000549,0.00384,0.009571
19.618,0.009869,-0.000283,0.00272,0.009483
19.88,0.008714,0.000282,-0.001184,0.008628
20.155,0.008658,8.7e-05,-0.002486,0.008292
20.426,0.007802,-0.00042,0.000316,0.007784
20.698,0.007845,0.0006,0.002138,0.007524
20.968,0.007825,0.002495,0.000865,0.007366
21.239,0.007104,0.001173,-0.000712,0.00697
21.514,0.008428,-0.003474,-0.001036,0.007609
21.791,0.008704,-0.004849,-0.001276,0.007115
22.065,0.007965,-0.000802,-0.000737,0.00789
22.333,0.008412,0.002169,-7.3e-05,0.008127
22.602,3.999547,-3.99954,4.4e-05,0.007079
22.876,4.000457,-4.000389,0.000158,0.02338
23.147,3.971928,-3.971837,-0.01165,0.024224
23.418,3.889293,-3.889222,-0.010657,0.020967
23.681,3.757822,-3.757649,0.028314,0.022313
23.944,3.595049,-3.594108,0.079686,0.020432
24.219,3.41746,-3.416055,0.096225,0.018451
24.491,3.239145,-3.238442,0.064932,0.018516
24.77,3.07612,-3.075978,0.023532,0.017909
25.04,2.932508,-2.932437,0.011061,0.017205
