time_s,err_mag,err_x,err_y,err_z
4.894,2.334641,0.171141,-2.046945,1.109629
5.007,2.33758,0.172703,-2.049622,1.110632
5.103,2.340125,0.173871,-2.051992,1.111433
5.195,2.342873,0.175425,-2.055059,1.111312
5.352,2.343486,0.175834,-2.055743,1.111274
5.395,2.346221,0.177526,-2.059329,1.110135
5.555,2.346529,0.177699,-2.059778,1.109926
5.595,2.347625,0.178631,-2.062308,1.107394
5.695,2.347525,0.178727,-2.063199,1.105505
5.795,2.344432,0.177909,-2.06296,1.099503
5.895,2.337943,0.175148,-2.060737,1.090257
5.999,2.326395,0.169549,-2.054991,1.07721
6.102,2.319571,0.165789,-2.051115,1.070444
6.199,2.290784,0.149278,-2.032653,1.045816
6.377,2.278818,0.142126,-2.024358,1.036718
6.399,2.24072,0.117295,-1.997021,1.009442
6.499,2.212485,0.097785,-1.976028,0.990374
6.605,2.195208,0.085005,-1.962844,0.979262
6.699,2.152358,0.053222,-1.929325,0.952638
6.848,2.130004,0.035665,-1.911239,0.93958
6.92,2.098642,0.011449,-1.884964,0.922539
7.003,2.063763,-0.016507,-1.85491,0.904518
7.114,2.032081,-0.043033,-1.82679,0.889009
7.2,1.98346,-0.084444,-1.782682,0.865462
7.315,1.955631,-0.108394,-1.756744,0.852404
7.399,1.9301,-0.130355,-1.73255,0.840575
7.523,1.881274,-0.171684,-1.68537,0.818073
7.604,1.851513,-0.195559,-1.656129,0.804423
7.705,1.79905,-0.234834,-1.603869,0.780408
7.807,1.758802,-0.26164,-1.563239,0.762374
7.909,1.717138,-0.286241,-1.520458,0.744874
8.009,1.677082,-0.305256,-1.479372,0.728616
8.117,1.633223,-0.319391,-1.435236,0.710988
8.217,1.593552,-0.325767,-1.396261,0.695513
8.319,1.550405,-0.32588,-1.354989,0.679384
8.423,1.506691,-0.319054,-1.31443,0.663775
8.521,1.464022,-0.306226,-1.276163,0.648842
8.626,1.419165,-0.287661,-1.236993,0.633348
8.729,1.3757,-0.265362,-1.199683,0.618784
8.831,1.329436,-0.238661,-1.160779,0.602522
8.903,1.284659,-0.211085,-1.123206,0.586685
9.004,1.239893,-0.183172,-1.085584,0.570342
9.104,1.195079,-0.155799,-1.047354,0.554068
9.203,1.150303,-0.130377,-1.008568,0.537579
9.308,1.106894,-0.108108,-0.970444,0.521312
9.404,1.059728,-0.086949,-0.928288,0.503731
9.504,1.014397,-0.069732,-0.887142,0.486948
9.608,0.96697,-0.0552,-0.843493,0.469578
9.708,0.92126,-0.045153,-0.800703,0.453382
9.808,0.875251,-0.038772,-0.757229,0.437224
9.905,0.830603,-0.035946,-0.71465,0.421764
